id,Gymnasium,domestic,n_study,technical
22553753,,,,
22553754,,,,
22553755,,,,
22553756,,,,
22553760,,,,
22553761,,,,
22553762,,,,
22553763,,,,
22553765,,,,
22553767,,,,
22553770,,,,
22553771,,,,
22553773,,,,
22553774,,,,
22553775,,,,
22553776,,,,
22553778,,,,
22553779,,,,
22553780,,,,
22553782,,,,
22553786,,,,
22553787,,,,
22553788,,,,
22553790,,,,
22553791,,,,
22553794,,,,
22553795,,,,
22553796,,,,
22553797,,,,
22553799,,,,
22553802,,,,
22553803,,,,
22553805,,,,
22553806,,,,
22553807,,,,
22553808,,,,
22553810,,,,
22553811,,,,
22553812,,,,
22553813,,,,
22553819,,,,
22553820,,,,
22553822,,,,
22553823,,,,
22553827,,,,
22553828,,,,
22553830,,,,
22553834,,,,
22553835,,,,
22553836,,,,
22553837,,,,
22553838,,,,
22553840,,,,
22553841,,,,
22553851,,,,
22553852,,,,
22553877,,,,
22553879,,,,
22553880,,,,
22553886,,,,
22553887,,,,
22553888,,,,
22553891,,,,
22553895,,,,
22553896,,,,
22553897,,,,
22553899,,,,
22553905,,,,
22553906,,,,
22553907,,,,
22553910,,,,
22553912,,,,
22553914,,,,
22553915,,,,
22553916,,,,
22553917,,,,
22553918,,,,
22553919,,,,
22553922,,,,
22553935,,,,
22553936,,,,
22553937,,,,
22553938,,,,
22553939,,,,
22553941,,,,
22554056,,,,
22554059,,,,
22554060,,,,
22554063,,,,
22554064,,,,
22554066,,,,
22554067,,,,
22554068,,,,
22554069,,,,
22554070,,,,
22554071,,,,
22554072,,,,
22554073,,,,
22554074,,,,
22554076,,,,
22554077,,,,
22554079,,,,
22554083,,,,
22554084,,,,
22554087,,,,
22554088,,,,
22554095,,,,
22554096,,,,
22554097,,,,
22554101,,,,
22554102,,,,
22554103,,,,
22554104,,,,
22554105,,,,
22554106,,,,
22554107,,,,
22554108,,,,
22554117,,,,
22554119,,,,
22554125,,,,
22554126,,,,
22554127,,,,
22554130,,,,
22554131,,,,
22554132,,,,
22554133,,,,
22554134,,,,
22554136,,,,
22554137,,,,
22554138,,,,
